city,lat,lon,year,month,avg_rainfall
Gangtok,27.33,88.61,2020,10,1.09
Gangtok,27.33,88.61,2020,11,0.02
Gangtok,27.33,88.61,2020,12,0.31
Gangtok,27.33,88.61,2021,1,0.25
Gangtok,27.33,88.61,2021,2,0.79
Gangtok,27.33,88.61,2021,3,1.64
Gangtok,27.33,88.61,2021,4,3.57
Gangtok,27.33,88.61,2021,5,6.74
Gangtok,27.33,88.61,2021,6,12.37
Gangtok,27.33,88.61,2021,7,13.09
Gangtok,27.33,88.61,2021,8,11.34
Gangtok,27.33,88.61,2021,9,6.57
Gangtok,27.33,88.61,2021,10,6.47
Gangtok,27.33,88.61,2021,11,0.13
Gangtok,27.33,88.61,2021,12,0.43
Gangtok,27.33,88.61,2022,1,0.25
Gangtok,27.33,88.61,2022,2,1.28
Gangtok,27.33,88.61,2022,3,1.13
Gangtok,27.33,88.61,2022,4,6.94
Gangtok,27.33,88.61,2022,5,6.82
Gangtok,27.33,88.61,2022,6,16.02
Gangtok,27.33,88.61,2022,7,9.17
Gangtok,27.33,88.61,2022,8,11.04
Gangtok,27.33,88.61,2022,9,7.7
Gangtok,27.33,88.61,2022,10,2.99
Gangtok,27.33,88.61,2022,11,0.08
Gangtok,27.33,88.61,2022,12,0.04
Gangtok,27.33,88.61,2023,1,0.01
Gangtok,27.33,88.61,2023,2,0.73
Gangtok,27.33,88.61,2023,3,3.9
Gangtok,27.33,88.61,2023,4,3.64
Gangtok,27.33,88.61,2023,5,4.26
Gangtok,27.33,88.61,2023,6,10.69
Gangtok,27.33,88.61,2023,7,11.66
Gangtok,27.33,88.61,2023,8,12.27
Gangtok,27.33,88.61,2023,9,5.12
Gangtok,27.33,88.61,2023,10,3.17
Gangtok,27.33,88.61,2023,11,0.05
Gangtok,27.33,88.61,2023,12,0.29
Gangtok,27.33,88.61,2024,1,0.14
Gangtok,27.33,88.61,2024,2,0.42
Gangtok,27.33,88.61,2024,3,2.67
Gangtok,27.33,88.61,2024,4,1.47
Gangtok,27.33,88.61,2024,5,4.87
Gangtok,27.33,88.61,2024,6,20.21
Gangtok,27.33,88.61,2024,7,14.94
Gangtok,27.33,88.61,2024,8,8.94
Gangtok,27.33,88.61,2024,9,17.31
Gangtok,27.33,88.61,2024,10,3.19
Gangtok,27.33,88.61,2024,11,0.06
Gangtok,27.33,88.61,2024,12,0.06
Gangtok,27.33,88.61,2025,1,0.20161290322580644
Gangtok,27.33,88.61,2025,2,0.7332142857142857
Gangtok,27.33,88.61,2025,3,1.3112903225806452
Gangtok,27.33,88.61,2025,4,4.296333333333334
Gangtok,27.33,88.61,2025,5,7.51516129032258
Gangtok,27.33,88.61,2025,6,7.533666666666666
Gangtok,27.33,88.61,2025,7,9.971290322580646
Gangtok,27.33,88.61,2025,8,9.515161290322581
Gangtok,27.33,88.61,2025,9,8.093666666666667
Gangtok,27.33,88.61,2025,10,4.840645161290323
Gangtok,27.33,88.61,2025,11,1.3173333333333335
Gangtok,27.33,88.61,2025,12,0.0003225806451612903
Gangtok,27.33,88.61,2026,1,0.01741935483870968
Gangtok,27.33,88.61,2026,2,0.44535714285714284
Gangtok,27.33,88.61,2026,3,4.453870967741936
Gangtok,27.33,88.61,2026,4,5.52
Gangtok,27.33,88.61,2026,5,7.217096774193548
Gangtok,27.33,88.61,2026,6,9.981333333333334
Gangtok,27.33,88.61,2026,7,9.356129032258066
Gangtok,27.33,88.61,2026,8,18.545666666666666
Guwahati,26.14,91.73,2015,1,0.29
Guwahati,26.14,91.73,2015,2,0.74
Guwahati,26.14,91.73,2015,3,0.89
Guwahati,26.14,91.73,2015,4,8.01
Guwahati,26.14,91.73,2015,5,10.97
Guwahati,26.14,91.73,2015,6,11.46
Guwahati,26.14,91.73,2015,7,9.49
Guwahati,26.14,91.73,2015,8,12.86
Guwahati,26.14,91.73,2015,9,9.84
Guwahati,26.14,91.73,2015,10,2.11
Guwahati,26.14,91.73,2015,11,0.25
Guwahati,26.14,91.73,2015,12,0.72
Guwahati,26.14,91.73,2016,1,0.66
Guwahati,26.14,91.73,2016,2,0.27
Guwahati,26.14,91.73,2016,3,2.28
Guwahati,26.14,91.73,2016,4,14.26
Guwahati,26.14,91.73,2016,5,11.92
Guwahati,26.14,91.73,2016,6,11.87
Guwahati,26.14,91.73,2016,7,18.56
Guwahati,26.14,91.73,2016,8,3.98
Guwahati,26.14,91.73,2016,9,5.87
Guwahati,26.14,91.73,2016,10,3.65
Guwahati,26.14,91.73,2016,11,0.28
Guwahati,26.14,91.73,2016,12,0.09
Guwahati,26.14,91.73,2017,1,0.01
Guwahati,26.14,91.73,2017,2,2.08
Guwahati,26.14,91.73,2017,3,4.54
Guwahati,26.14,91.73,2017,4,11.87
Guwahati,26.14,91.73,2017,5,7.61
Guwahati,26.14,91.73,2017,6,16.3
Guwahati,26.14,91.73,2017,7,13.98
Guwahati,26.14,91.73,2017,8,13.87
Guwahati,26.14,91.73,2017,9,9.14
Guwahati,26.14,91.73,2017,10,5.99
Guwahati,26.14,91.73,2017,11,0.31
Guwahati,26.14,91.73,2017,12,0.27
Guwahati,26.14,91.73,2018,1,0.08
Guwahati,26.14,91.73,2018,2,0.51
Guwahati,26.14,91.73,2018,3,2.04
Guwahati,26.14,91.73,2018,4,5.95
Guwahati,26.14,91.73,2018,5,9.15
Guwahati,26.14,91.73,2018,6,12.74
Guwahati,26.14,91.73,2018,7,9.99
Guwahati,26.14,91.73,2018,8,8.84
Guwahati,26.14,91.73,2018,9,8.43
Guwahati,26.14,91.73,2018,10,1.06
Guwahati,26.14,91.73,2018,11,0.38
Guwahati,26.14,91.73,2018,12,0.66
Guwahati,26.14,91.73,2019,1,0.02
Guwahati,26.14,91.73,2019,2,1.05
Guwahati,26.14,91.73,2019,3,1.49
Guwahati,26.14,91.73,2019,4,7.16
Guwahati,26.14,91.73,2019,5,13.65
Guwahati,26.14,91.73,2019,6,11.29
Guwahati,26.14,91.73,2019,7,17.8
Guwahati,26.14,91.73,2019,8,6.48
Guwahati,26.14,91.73,2019,9,11.56
Guwahati,26.14,91.73,2019,10,6.54
Guwahati,26.14,91.73,2019,11,0.44
Guwahati,26.14,91.73,2019,12,0.03
Guwahati,26.14,91.73,2020,1,0.6
Guwahati,26.14,91.73,2020,2,0.45
Guwahati,26.14,91.73,2020,3,0.6
Guwahati,26.14,91.73,2020,4,8.14
Guwahati,26.14,91.73,2020,5,17.88
Guwahati,26.14,91.73,2020,6,19.5
Guwahati,26.14,91.73,2020,7,15.66
Guwahati,26.14,91.73,2020,8,8.31
Guwahati,26.14,91.73,2020,9,14.13
Guwahati,26.14,91.73,2020,10,5.22
Guwahati,26.14,91.73,2020,11,0.09
Guwahati,26.14,91.73,2020,12,0.0
Guwahati,26.14,91.73,2021,1,0.09
Guwahati,26.14,91.73,2021,2,0.12
Guwahati,26.14,91.73,2021,3,1.69
Guwahati,26.14,91.73,2021,4,3.86
Guwahati,26.14,91.73,2021,5,8.26
Guwahati,26.14,91.73,2021,6,11.82
Guwahati,26.14,91.73,2021,7,9.85
Guwahati,26.14,91.73,2021,8,10.94
Guwahati,26.14,91.73,2021,9,4.92
Guwahati,26.14,91.73,2021,10,3.15
Guwahati,26.14,91.73,2021,11,0.0
Guwahati,26.14,91.73,2021,12,0.2
Guwahati,26.14,91.73,2022,1,0.7
Guwahati,26.14,91.73,2022,2,2.04
Guwahati,26.14,91.73,2022,3,1.71
Guwahati,26.14,91.73,2022,4,9.39
Guwahati,26.14,91.73,2022,5,14.74
Guwahati,26.14,91.73,2022,6,24.19
Guwahati,26.14,91.73,2022,7,6.76
Guwahati,26.14,91.73,2022,8,5.74
Guwahati,26.14,91.73,2022,9,5.11
Guwahati,26.14,91.73,2022,10,6.78
Guwahati,26.14,91.73,2022,11,0.01
Guwahati,26.14,91.73,2022,12,0.08
Guwahati,26.14,91.73,2023,1,0.0
Guwahati,26.14,91.73,2023,2,0.14
Guwahati,26.14,91.73,2023,3,3.5
Guwahati,26.14,91.73,2023,4,3.08
Guwahati,26.14,91.73,2023,5,4.75
Guwahati,26.14,91.73,2023,6,16.53
Guwahati,26.14,91.73,2023,7,8.72
Guwahati,26.14,91.73,2023,8,9.34
Guwahati,26.14,91.73,2023,9,4.77
Guwahati,26.14,91.73,2023,10,4.42
Guwahati,26.14,91.73,2023,11,0.3
Guwahati,26.14,91.73,2023,12,0.38
Guwahati,26.14,91.73,2024,1,0.09
Guwahati,26.14,91.73,2024,2,0.47
Guwahati,26.14,91.73,2024,3,3.5
Guwahati,26.14,91.73,2024,4,2.11
Guwahati,26.14,91.73,2024,5,12.56
Guwahati,26.14,91.73,2024,6,20.23
Guwahati,26.14,91.73,2024,7,11.29
Guwahati,26.14,91.73,2024,8,10.91
Guwahati,26.14,91.73,2024,9,4.67
Guwahati,26.14,91.73,2024,10,5.47
Guwahati,26.14,91.73,2024,11,0.05
Guwahati,26.14,91.73,2024,12,0.0
Guwahati,26.14,91.73,2025,1,0.10064516129032257
Guwahati,26.14,91.73,2025,2,0.11928571428571429
Guwahati,26.14,91.73,2025,3,0.6151612903225806
Guwahati,26.14,91.73,2025,4,5.908
Guwahati,26.14,91.73,2025,5,17.04774193548387
Guwahati,26.14,91.73,2025,6,7.680666666666667
Guwahati,26.14,91.73,2025,7,10.162903225806453
Guwahati,26.14,91.73,2025,8,10.920322580645163
Guwahati,26.14,91.73,2025,9,5.944999999999999
Guwahati,26.14,91.73,2025,10,3.5548387096774197
Guwahati,26.14,91.73,2025,11,0.7356666666666667
Guwahati,26.14,91.73,2025,12,0.005483870967741935
Guwahati,26.14,91.73,2026,1,0.0012903225806451613
Guwahati,26.14,91.73,2026,2,0.09285714285714285
Guwahati,26.14,91.73,2026,3,6.417419354838709
Guwahati,26.14,91.73,2026,4,8.774333333333335
Guwahati,26.14,91.73,2026,5,5.787096774193548
Guwahati,26.14,91.73,2026,6,8.421
Guwahati,26.14,91.73,2026,7,13.588387096774193
Guwahati,26.14,91.73,2026,8,11.464666666666666
Imphal,24.82,93.94,2015,1,1.04
Imphal,24.82,93.94,2015,2,0.43
Imphal,24.82,93.94,2015,3,0.68
Imphal,24.82,93.94,2015,4,7.23
Imphal,24.82,93.94,2015,5,3.45
Imphal,24.82,93.94,2015,6,8.29
Imphal,24.82,93.94,2015,7,12.86
Imphal,24.82,93.94,2015,8,8.21
Imphal,24.82,93.94,2015,9,6.21
Imphal,24.82,93.94,2015,10,3.43
Imphal,24.82,93.94,2015,11,0.43
Imphal,24.82,93.94,2015,12,0.28
Imphal,24.82,93.94,2016,1,0.28
Imphal,24.82,93.94,2016,2,0.97
Imphal,24.82,93.94,2016,3,1.7
Imphal,24.82,93.94,2016,4,7.54
Imphal,24.82,93.94,2016,5,10.06
Imphal,24.82,93.94,2016,6,6.28
Imphal,24.82,93.94,2016,7,9.36
Imphal,24.82,93.94,2016,8,4.39
Imphal,24.82,93.94,2016,9,6.64
Imphal,24.82,93.94,2016,10,3.01
Imphal,24.82,93.94,2016,11,2.79
Imphal,24.82,93.94,2016,12,0.16
Imphal,24.82,93.94,2017,1,0.22
Imphal,24.82,93.94,2017,2,1.07
Imphal,24.82,93.94,2017,3,5.5
Imphal,24.82,93.94,2017,4,7.63
Imphal,24.82,93.94,2017,5,5.92
Imphal,24.82,93.94,2017,6,10.45
Imphal,24.82,93.94,2017,7,10.48
Imphal,24.82,93.94,2017,8,6.59
Imphal,24.82,93.94,2017,9,9.27
Imphal,24.82,93.94,2017,10,7.75
Imphal,24.82,93.94,2017,11,0.18
Imphal,24.82,93.94,2017,12,2.2
Imphal,24.82,93.94,2018,1,0.24
Imphal,24.82,93.94,2018,2,0.36
