city,lat,lon,year,month,avg_rainfall
Aizawl,23.73,92.71,2011,3,2.28
Aizawl,23.73,92.71,2011,4,2.04
Aizawl,23.73,92.71,2011,5,11.496
Aizawl,23.73,92.71,2011,6,11.976
Aizawl,23.73,92.71,2011,7,8.04
Aizawl,23.73,92.71,2011,8,14.873
Aizawl,23.73,92.71,2011,9,7.816
Aizawl,23.73,92.71,2011,10,1.799
Aizawl,23.73,92.71,2011,11,0.0
Aizawl,23.73,92.71,2011,12,0.0
Aizawl,23.73,92.71,2012,1,0.145
Aizawl,23.73,92.71,2012,2,0.188
Aizawl,23.73,92.71,2012,3,0.296
Aizawl,23.73,92.71,2012,4,9.64
Aizawl,23.73,92.71,2012,5,5.799
Aizawl,23.73,92.71,2012,6,13.48
Aizawl,23.73,92.71,2012,7,10.1
Aizawl,23.73,92.71,2012,8,8.56
Aizawl,23.73,92.71,2012,9,5.902
Aizawl,23.73,92.71,2012,10,2.714
Aizawl,23.73,92.71,2012,11,1.06
Aizawl,23.73,92.71,2012,12,0.119
Aizawl,23.73,92.71,2013,1,0.0
Aizawl,23.73,92.71,2013,2,0.159
Aizawl,23.73,92.71,2013,3,0.542
Aizawl,23.73,92.71,2013,4,2.498
Aizawl,23.73,92.71,2013,5,18.068
Aizawl,23.73,92.71,2013,6,9.709
Aizawl,23.73,92.71,2013,7,7.686
Aizawl,23.73,92.71,2013,8,9.294
Aizawl,23.73,92.71,2013,9,8.986
Aizawl,23.73,92.71,2013,10,5.751
Aizawl,23.73,92.71,2013,11,0.0
Aizawl,23.73,92.71,2013,12,0.046
Aizawl,23.73,92.71,2014,1,0.0
Aizawl,23.73,92.71,2014,2,0.514
Aizawl,23.73,92.71,2014,3,1.014
Aizawl,23.73,92.71,2014,4,1.268
Aizawl,23.73,92.71,2014,5,10.393
Aizawl,23.73,92.71,2014,6,17.384
Aizawl,23.73,92.71,2014,7,6.302
Aizawl,23.73,92.71,2014,8,11.545
Aizawl,23.73,92.71,2014,9,10.641
Aizawl,23.73,92.71,2014,10,3.066
Aizawl,23.73,92.71,2014,11,0.0
Aizawl,23.73,92.71,2014,12,0.1
Aizawl,23.73,92.71,2015,1,0.146
Aizawl,23.73,92.71,2015,2,0.72
Aizawl,23.73,92.71,2015,3,1.029
Aizawl,23.73,92.71,2015,4,9.626
Aizawl,23.73,92.71,2015,5,7.797
Aizawl,23.73,92.71,2015,6,12.648
Aizawl,23.73,92.71,2015,7,25.132
Aizawl,23.73,92.71,2015,8,13.468
Aizawl,23.73,92.71,2015,9,9.021
Aizawl,23.73,92.71,2015,10,4.986
Aizawl,23.73,92.71,2015,11,0.274
Aizawl,23.73,92.71,2015,12,0.04
Aizawl,23.73,92.71,2016,1,0.065
Aizawl,23.73,92.71,2016,2,1.508
Aizawl,23.73,92.71,2016,3,3.0
Aizawl,23.73,92.71,2016,4,5.09
Aizawl,23.73,92.71,2016,5,13.977
Aizawl,23.73,92.71,2016,6,10.081
Aizawl,23.73,92.71,2016,7,14.138
Aizawl,23.73,92.71,2016,8,13.41
Aizawl,23.73,92.71,2016,9,12.128
Aizawl,23.73,92.71,2016,10,8.261
Aizawl,23.73,92.71,2016,11,5.833
Aizawl,23.73,92.71,2016,12,0.031
Gangtok,27.33,88.61,2007,1,0.075
Gangtok,27.33,88.61,2007,2,0.91
Gangtok,27.33,88.61,2007,3,0.23
Gangtok,27.33,88.61,2007,4,0.728
Gangtok,27.33,88.61,2007,5,2.865
Gangtok,27.33,88.61,2007,6,3.381
Gangtok,27.33,88.61,2007,7,10.419
Gangtok,27.33,88.61,2007,8,4.986
Gangtok,27.33,88.61,2007,9,5.628
Gangtok,27.33,88.61,2007,10,0.575
Gangtok,27.33,88.61,2007,11,0.099
Gangtok,27.33,88.61,2007,12,0.005
Gangtok,27.33,88.61,2008,1,0.339
Gangtok,27.33,88.61,2008,2,0.045
Gangtok,27.33,88.61,2008,3,1.301
Gangtok,27.33,88.61,2008,4,0.797
Gangtok,27.33,88.61,2008,5,1.632
Gangtok,27.33,88.61,2008,6,6.378
Gangtok,27.33,88.61,2008,7,6.239
Gangtok,27.33,88.61,2008,8,7.832
Gangtok,27.33,88.61,2008,9,1.853
Gangtok,27.33,88.61,2008,10,1.972
Gangtok,27.33,88.61,2008,11,0.179
Gangtok,27.33,88.61,2008,12,0.003
Gangtok,27.33,88.61,2009,1,0.043
Gangtok,27.33,88.61,2009,2,0.044
Gangtok,27.33,88.61,2009,3,0.327
Gangtok,27.33,88.61,2009,4,0.766
Gangtok,27.33,88.61,2009,5,6.673
Gangtok,27.33,88.61,2009,6,1.793
Gangtok,27.33,88.61,2009,7,6.755
Gangtok,27.33,88.61,2009,8,7.782
Gangtok,27.33,88.61,2009,9,2.412
Gangtok,27.33,88.61,2009,10,3.318
Gangtok,27.33,88.61,2009,11,0.057
Gangtok,27.33,88.61,2009,12,0.029
Gangtok,27.33,88.61,2010,1,0.0
Gangtok,27.33,88.61,2010,2,0.042
Gangtok,27.33,88.61,2010,3,0.586
Gangtok,27.33,88.61,2010,4,0.59
Gangtok,27.33,88.61,2010,5,4.33
Gangtok,27.33,88.61,2010,6,5.242
