event_id,lat,lon,year,month,rainfall,rainfall_unit,rainfall_city,elevation,slope,terrain_distance_km,event_observed,sample_type
,28.121049,93.816644,2013,7,14.215,mm/day monthly mean,Itanagar,1441.0,4.276,19.212,0,background_no_record
,25.973657,90.539501,2013,9,5.171,mm/day monthly mean,Guwahati,829.0,1.198,54.679,0,background_no_record
7780.0,23.3572,92.7878,2015,8,13.468,mm/day monthly mean,Aizawl,959.0,1.325,25.52,1,catalogued_landslide
6222.0,27.1249,93.7706,2014,10,0.756,mm/day monthly mean,Itanagar,81.0,3.361,30.272,1,catalogued_landslide
5271.0,26.284,94.5808,2013,8,8.951,mm/day monthly mean,Kohima,2265.0,3.183,42.059,1,catalogued_landslide
,23.085634,96.606382,2011,6,8.932,mm/day monthly mean,Imphal,819.0,1.07,43.576,0,background_no_record
,21.642694,88.59144,2016,7,15.384,mm/day monthly mean,Agartala,6.0,0.004,57.941,0,background_no_record
,21.617463,95.771734,2008,8,12.475,mm/day monthly mean,Aizawl,96.0,0.81,48.628,0,background_no_record
2042.0,26.0093,94.5238,2010,7,8.907,mm/day monthly mean,Kohima,2295.0,3.184,58.184,1,catalogued_landslide
,23.006576,87.812835,2007,9,7.518,mm/day monthly mean,Agartala,23.0,0.028,31.893,0,background_no_record
,23.776327,96.469968,2015,8,8.21,mm/day monthly mean,Imphal,140.0,0.99,48.602,0,background_no_record
4426.0,26.1226,91.7162,2012,6,20.722,mm/day monthly mean,Guwahati,51.0,1.609,36.304,1,catalogued_landslide
,29.377196,91.115361,2015,8,8.47,mm/day monthly mean,Gangtok,4557.0,2.721,65.153,0,background_no_record
,23.315275,94.19814,2011,6,11.976,mm/day monthly mean,Aizawl,160.0,1.654,22.075,0,background_no_record
,22.574935,91.153785,2015,9,6.639,mm/day monthly mean,Agartala,3.0,0.243,16.498,0,background_no_record
614.0,26.89,88.28,2008,6,6.378,mm/day monthly mean,Gangtok,1651.0,4.124,28.427,1,catalogued_landslide
4446.0,28.9986,94.8885,2012,7,13.792,mm/day monthly mean,Itanagar,2204.0,2.953,24.607,1,catalogued_landslide
,23.433111,93.192121,2007,9,9.344,mm/day monthly mean,Aizawl,959.0,1.325,29.414,0,background_no_record
,27.176626,89.231278,2007,9,5.628,mm/day monthly mean,Gangtok,465.0,5.853,34.465,0,background_no_record
,23.765975,93.114894,2015,7,25.132,mm/day monthly mean,Aizawl,580.0,1.042,15.317,0,background_no_record
4571.0,27.6558,88.605,2012,9,5.529,mm/day monthly mean,Gangtok,3787.0,4.841,40.237,1,catalogued_landslide
2106.0,26.8716,94.9921,2010,7,13.122,mm/day monthly mean,Itanagar,123.0,3.299,8.199,1,catalogued_landslide
,21.537931,96.033695,2011,8,14.873,mm/day monthly mean,Aizawl,96.0,0.81,51.497,0,background_no_record
,25.923945,96.8614,2016,7,10.073,mm/day monthly mean,Kohima,1700.0,2.199,27.635,0,background_no_record
2420.0,23.72989,92.714956,2010,9,6.911,mm/day monthly mean,Aizawl,580.0,1.042,32.166,1,catalogued_landslide
,22.351356,97.491047,2009,8,7.68,mm/day monthly mean,Imphal,652.0,0.826,58.518,0,background_no_record
4908.0,27.3721,88.708,2013,6,5.723,mm/day monthly mean,Gangtok,3787.0,4.841,35.851,1,catalogued_landslide
,27.301467,94.580912,2015,6,21.278,mm/day monthly mean,Itanagar,105.0,3.605,50.625,0,background_no_record
7263.0,25.4477,94.0489,2015,7,11.474,mm/day monthly mean,Kohima,1751.0,2.391,29.466,1,catalogued_landslide
,25.171326,93.187412,2007,7,5.205,mm/day monthly mean,Imphal,1036.0,1.488,20.874,0,background_no_record
,28.776418,93.371239,2011,7,19.513,mm/day monthly mean,Itanagar,4375.0,4.276,36.273,0,background_no_record
